站名,省,经纬度,省内火车站数量
漯河,河南,"114.036578,33.572329",95
平顶山,河南,"113.297906,33.7208359999999",95
商城,河南,"115.436944,31.9555569999999",95
沈丘,河南,"115.081325,33.3629469999999",95
项城,河南,"114.884079,33.4163799999999",95
新县,河南,"114.883065,31.6447089999999",95
固始,河南,"115.664300999999,31.917316",95
淮滨,河南,"115.406425,32.5028709999999",95
罗山,河南,"114.545084,32.1683489999999",95
信阳,河南,"114.076359,32.1308739999999",95
明港东,河南,"114.059022,32.4893339999999",95
息县,河南,"114.827305,32.175204",95
信阳东,河南,"114.154511,32.1463269999999",95
周口,河南,"114.660175,33.580795",95
确山,河南,"114.030371,32.803601",95
遂平,河南,"114.029449,33.1459079999999",95
西平,河南,"114.032687,33.379142",95
驻马店,河南,"114.037764,32.9808409999999",95
驻马店西,河南,"113.974275,33.002394",95
安阳东,河南,"114.446049,36.084529",95
鹤壁东,河南,"114.294158999999,35.706186",95
平顶山西,河南,"113.040589999999,33.856417",95
邓州,河南,"112.064685999999,32.685001",95
封丘,河南,"114.413085,35.0453169999999",95
巩义,河南,"112.97484,34.7614439999999",95
巩义南,河南,"112.909588,34.6725539999999",95
安阳,河南,"114.334509,36.1046309999999",95
鹤壁,河南,"114.268300999999,35.759925",95
滑县南,河南,"114.485179,35.2266339999999",95
获嘉,河南,"113.642926,35.2566729999999",95
狮子营,河南,"113.540733,35.250216",95
济源,河南,"112.567879,35.111358",95
盘古寺,河南,"112.584751999999,35.1653129999999",95
莲东,河南,"112.633643,35.1305479999999",95
沁河北,河南,"115.655461,38.6132679999999",95
轵城,河南,"112.589088,35.04092",95
月山,河南,"113.048117,35.210455",95
焦作,河南,"113.228564,35.2233659999999",95
待王,河南,"113.329686,35.238931",95
后寨,河南,"112.944363,35.200479",95
开封,河南,"114.34715,34.771931",95
兰考,河南,"114.813972,34.816293",95
灵宝,河南,"110.89254,34.512107",95
灵宝西,河南,"110.68375,34.579661",95
洛阳东,河南,"112.480248,34.6972",95
留庄,河南,"112.502893,34.9349089999999",95
关林,河南,"112.506838,34.635455",95
洛阳,河南,"112.429938,34.6866199999999",95
临颍,河南,"113.91458,33.8082399999999",95
白合,河南,"112.540529,34.850996",95
王庄,河南,"112.48869,34.8876479999999",95
孟津,河南,"112.594538,34.7969969999999",95
渑池,河南,"111.779833999999,34.7545829999999",95
渑池南,河南,"111.768268,34.6862039999999",95
南阳,河南,"112.506232999999,33.0004309999999",95
南召,河南,"112.734179,33.4417479999999",95
内乡,河南,"111.860074999999,33.0698709999999",95
鲁山,河南,"112.89798,33.749898",95
沁阳,河南,"112.944103,35.200526",95
捏掌,河南,"112.824589,35.1913839999999",95
汝阳,河南,"112.549501,34.3087439999999",95
汝州,河南,"112.821607,34.171208",95
三门峡南,河南,"111.154273,34.7495669999999",95
三门峡,河南,"111.227189,34.76158",95
三门峡西,河南,"111.081256,34.6944039999999",95
民权,河南,"115.13481,34.646332",95
商丘南,河南,"115.699055,34.40946",95
宁陵县,河南,"115.311905,34.574499",95
商丘,河南,"115.651356,34.4449869999999",95
汤阴,河南,"114.340228,35.914548",95
唐河,河南,"112.845403,32.669144",95
桐柏,河南,"113.430085,32.3917349999999",95
卫辉,河南,"114.055922,35.432045",95
西峡,河南,"111.506344,33.273099",95
新安县,河南,"112.148062,34.719394",95
新乡,河南,"113.853652,35.306359",95
新乡东,河南,"113.972669999999,35.314883",95
修武,河南,"113.432561,35.243569",95
许昌东,河南,"113.882369,34.049719",95
许昌,河南,"113.814932,34.021687",95
长葛,河南,"113.772506,34.215195",95
延津,河南,"113.972669999999,35.314883",95
偃师,河南,"112.788236,34.7295689999999",95
义马,河南,"111.90655,34.7223919999999",95
长垣,河南,"114.654194,35.211404",95
文庄村,河南,"114.654194,35.211404",95
镇平,河南,"112.218481,33.055182",95
郑州,河南,"113.653617,34.7475069999999",95
上街,河南,"113.265029,34.827361",95
郑州东,河南,"113.772957,34.760199",95
红砂岘,甘肃,"104.061172,36.607782",102
白银西,甘肃,"104.096538,36.549356",102
白银市,甘肃,"104.167233999999,36.556775",102
长城,甘肃,"104.109523,37.289703",102
景泰,甘肃,"104.053146,37.193801",102
兴泉堡,甘肃,"104.004575,37.1141709999999",102
红岘台,甘肃,"104.097604,36.805674",102
东湾,甘肃,"104.742464,36.6513589999999",102
靖远西,甘肃,"104.729274,36.749039",102
吴家川,甘肃,"104.531913,36.656646",102
靖远,甘肃,"104.649912,36.560557",102
长征,甘肃,"104.845061,36.7233829999999",102
定西,甘肃,"104.622471,35.592516",102
通安驿,甘肃,"104.684522,35.2976809999999",102
陇西,甘肃,"104.702324,34.953245",102
云田乡,甘肃,"104.713392,35.112915",102
敦煌,甘肃,"94.7845669999999,40.1676509999999",102
低窝铺,甘肃,"97.2429609999999,40.141345",102
古浪,甘肃,"102.915814,37.4798359999999",102
瓜州,甘肃,"95.772497,40.5662609999999",102
疏勒河,甘肃,"96.869521,40.429349",102
嘉峪关,甘肃,"98.253932,39.7639",102
绿化,甘肃,"98.2498999999999,39.8007649999999",102
桥西,甘肃,"98.16597,39.7386989999999",102
芨岭,甘肃,"101.786317,38.5305249999999",102
金昌,甘肃,"102.061950999999,38.370531",102
玉石,甘肃,"101.889865,38.470616",102
柳沟,甘肃,"96.437072,40.6779709999999",102
桥湾,甘肃,"96.6417069999999,40.5650229999999",102
酒泉,甘肃,"98.4509189999999,39.6447519999999",102
清水,甘肃,"99.043159,39.3562299999999",102
兰州,甘肃,"103.848899,36.035269",102
兰州东,甘肃,"103.890303,36.0299619999999",102
皋兰,甘肃,"103.941018,36.337124",102
朱家窑,甘肃,"103.996181,36.4963699999999",102
丰水村,甘肃,"103.98336,36.4602599999999",102
水源,甘肃,"103.877467999999,36.1407189999999",102
邵家堂,甘肃,"103.865101,36.1752469999999",102
水车湾,甘肃,"102.95308,36.2908669999999",102
花庄,甘肃,"103.162602,36.190482",102
张家祠,甘肃,"103.27822,36.161031",102
兰州西,甘肃,"103.750219,36.068615",102
陈官营,甘肃,"103.651915,36.0911279999999",102
坡底下,甘肃,"103.512849,36.137453",102
河口南,甘肃,"103.453812,36.163764",102
西固城,甘肃,"103.595091999999,36.1086",102
龙泉寺,甘肃,"103.38566,36.484949",102
永登,甘肃,"103.271069999999,36.7205409999999",102
甘草店,甘肃,"104.287974,35.7941709999999",102
骆驼巷,甘肃,"104.045731,36.026505",102
李家坪,甘肃,"104.470738,35.709992",102
王家湾,甘肃,"104.24999,35.843335",102
桑园子,甘肃,"103.97417,36.055267",102
夏官营,甘肃,"104.176813,35.9532349999999",102
许家台,甘肃,"104.208853,35.9074189999999",102
崇信,甘肃,"106.888803,35.312457",102
平凉,甘肃,"106.703363999999,35.550991",102
庙庄,甘肃,"106.833433,35.4343969999999",102
平凉南,甘肃,"106.822582999999,35.4836979999999",102
新李,甘肃,"106.589901,35.608296",102
山丹,甘肃,"101.072374,38.812148",102
镜铁山,甘肃,"97.9490349999999,39.318235",102
磐安镇,甘肃,"105.111642,34.7636639999999",102
甘谷,甘肃,"105.328148,34.763857",102
南河川,甘肃,"105.762294,34.624631",102
三阳川,甘肃,"105.703565,34.666324",102
渭南镇,甘肃,"105.633778,34.6895659999999",102
新阳镇,甘肃,"105.52367,34.69395",102
天水,甘肃,"105.894533999999,34.566889",102
洛门,甘肃,"105.029003,34.7608999999999",102
贺家店,甘肃,"104.831563,34.755412",102
武山,甘肃,"104.91611,34.722707",102
鸳鸯镇,甘肃,"104.778429,34.8006889999999",102
黑冲滩,甘肃,"103.340068,37.6418639999999",102
石峡子,甘肃,"103.456813,37.6139349999999",102
谭家井,甘肃,"103.590052,37.590249",102
龙沟,甘肃,"102.905525999999,37.32392",102
园墩,甘肃,"102.972216,37.720602",102
土门子,甘肃,"103.075672,37.6569819999999",102
黄羊镇,甘肃,"102.854242,37.672389",102
上腰墩,甘肃,"102.831047,37.77315",102
武威,甘肃,"102.622164,37.903677",102
武威南,甘肃,"102.73558,37.815016",102
打柴沟,甘肃,"102.996868,37.0898759999999",102
天祝,甘肃,"102.840777,37.266556",102
玉门,甘肃,"97.0436859999999,40.2721469999999",102
张掖,甘肃,"100.517708,38.973032",102
平原堡,甘肃,"100.367018,39.077435",102
高台,甘肃,"99.7880389999999,39.2689689999999",102
许三湾,甘肃,"99.408911,39.3157349999999",102
临泽,甘肃,"100.158447,39.155776",102
狼尾山,甘肃,"98.0375959999999,39.621803",102
海石湾,甘肃,"102.863708,36.341144",102
红柳河,甘肃,"94.725616,41.532021",102
柳园,甘肃,"95.5044589999999,41.1050839999999",102
柳园南,甘肃,"95.4711729999999,41.101213",102
安口窑,甘肃,"106.804674,35.235351",102
徽县,甘肃,"106.196799,33.7015779999999",102
宏庆,甘肃,"106.422636999999,33.8500969999999",102
两当,甘肃,"106.306196,33.7761349999999",102
神峪河,甘肃,"106.786741,35.137548",102
元龙,甘肃,"106.156322,34.531616",102
六盘山,宁夏回族自治区,"106.287640999999,35.7064129999999",42
三关口,宁夏回族自治区,"106.376019,35.675545",42
彭阳,宁夏回族自治区,"106.283553,35.8119129999999",42
固原,宁夏回族自治区,"106.301143999999,36.0211529999999",42
沈家河,宁夏回族自治区,"106.264968999999,36.1200109999999",42
二营,宁夏回族自治区,"106.243765,36.1840819999999",42
三营,宁夏回族自治区,"106.144526,36.290888",42
灵武,宁夏回族自治区,"106.362861,38.1573229999999",42
青铜峡,宁夏回族自治区,"105.928072,37.9180429999999",42
大坝,宁夏回族自治区,"105.930182,38.0241029999999",42
白芨沟,宁夏回族自治区,"106.136604,39.1181929999999",42
大武口,宁夏回族自治区,"106.417128,38.915961",42
汝箕沟,宁夏回族自治区,"106.106302,39.0661989999999",42
石嘴山,宁夏回族自治区,"106.417128,38.915961",42
平罗,宁夏回族自治区,"106.417128,38.915961",42
惠农,宁夏回族自治区,"106.722641999999,39.2613449999999",42
红寺堡,宁夏回族自治区,"106.060643,37.448194",42
太阳山,宁夏回族自治区,"106.5645,37.451971",42
同心,宁夏回族自治区,"105.922406,36.9939419999999",42
艾家村,宁夏回族自治区,"105.761810999999,37.174678",42
石坝,宁夏回族自治区,"105.804334999999,37.0985999999999",42
王团庄,宁夏回族自治区,"105.99943,36.867221",42
盐池,宁夏回族自治区,"107.343245999999,37.7338239999999",42
暖泉,宁夏回族自治区,"106.26993,38.7398529999999",42
银川,宁夏回族自治区,"106.170210999999,38.491529",42
黄羊滩,宁夏回族自治区,"106.014477,38.2599099999999",42
长农,宁夏回族自治区,"105.690271999999,37.271484",42
中宁南,宁夏回族自治区,"105.613104,37.334758",42
大战场,宁夏回族自治区,"105.529925,37.430917",42
土桥子,宁夏回族自治区,"106.023208,36.796396",42
韩府湾,宁夏回族自治区,"106.138075,36.5693619999999",42
李旺,宁夏回族自治区,"106.099335999999,36.663578",42
七营,宁夏回族自治区,"106.140376,36.5016589999999",42
褚家湾,宁夏回族自治区,"106.113061,36.36616",42
沙坡头,宁夏回族自治区,"105.000782,37.466551",42
迎水桥,宁夏回族自治区,"105.077113999999,37.5056429999999",42
营盘水,宁夏回族自治区,"104.321917,37.4448969999999",42
宣和,宁夏回族自治区,"105.436965,37.4779109999999",42
干塘,宁夏回族自治区,"104.514315999999,37.457013",42
中宁,宁夏回族自治区,"105.663168,37.5551389999999",42
中宁东,宁夏回族自治区,"105.698369,37.449088",42
中卫,宁夏回族自治区,"105.186404,37.5215919999999",42
定边,陕西,"107.572577,37.561874",117
白河县,陕西,"110.092665,32.835811",117
张家船,陕西,"109.579684,35.321784",117
白河东,陕西,"110.109817,32.805815",117
冷水,陕西,"109.870382,32.9002529999999",117
大竹园,陕西,"108.722378,32.5622449999999",117
梅子铺,陕西,"108.685012,32.7713699999999",117
石庙沟,陕西,"108.919743,32.650452",117
汉阴,陕西,"108.502377,32.879255",117
涧池铺,陕西,"108.590204,32.830272",117
高梁铺,陕西,"108.413107999999,32.9146039999999",117
石泉县,陕西,"108.246782,33.0310169999999",117
池河,陕西,"108.327567,32.97341",117
缯溪河,陕西,"108.145895,33.0334489999999",117
蜀河,陕西,"109.672058,32.9094729999999",117
小河镇,陕西,"109.158365,33.119242",117
高滩,陕西,"108.322902,32.41646",117
麻柳,陕西,"108.190406999999,32.3003799999999",117
紫阳,陕西,"108.552646,32.5340619999999",117
虢镇,陕西,"107.353624999999,34.365833",117
千河,陕西,"107.299002,34.392479",117
凤县,陕西,"106.503086999999,33.906269",117
秦岭,陕西,"106.906857,34.2406829999999",117
凤州,陕西,"106.657435,33.9777929999999",117
凤翔,陕西,"107.246273,34.463065",117
冯家山,陕西,"107.184653,34.5257239999999",117
绛帐,陕西,"107.949568,34.2752109999999",117
宝鸡南,陕西,"107.226448,34.336019",117
福临堡,陕西,"107.086076,34.386274",117
娘娘庙,陕西,"106.938343,34.806424",117
火烧寨,陕西,"106.779234,35.047192",117
史家铺,陕西,"106.7846,34.96656",117
陇县,陕西,"106.846577,34.872301",117
常兴,陕西,"107.832671,34.2745019999999",117
岐山,陕西,"107.608386,34.2772829999999",117
蔡家坡,陕西,"107.59341,34.3229189999999",117
千阳,陕西,"107.110946,34.636496",117
水沟,陕西,"107.014895,34.747407",117
宝鸡,陕西,"107.148111,34.374091",117
丹凤,陕西,"110.349097,33.6817199999999",117
张桥,陕西,"109.396923,34.7731539999999",117
富县,陕西,"109.384373999999,36.008696",117
富县东,陕西,"109.39284,36.0210709999999",117
甘泉,陕西,"109.34198,36.258498",117
韩城,陕西,"110.436297999999,35.4841649999999",117
安康,陕西,"109.012609,32.7146079999999",117
城固,陕西,"107.318051,33.1405699999999",117
汉中,陕西,"107.025595,33.09172",117
白水江,陕西,"106.078605999999,33.575147",117
略阳,陕西,"106.142112,33.3330389999999",117
乐素河,陕西,"106.046079,33.193829",117
高潭子,陕西,"106.041994,33.1245419999999",117
马蹄湾,陕西,"106.037214,33.4709769999999",117
徐家坪,陕西,"106.049453,33.407086",117
勉县,陕西,"106.688027,33.173093",117
巨亭,陕西,"106.084476,33.0577869999999",117
燕子砭,陕西,"105.921986,32.9194269999999",117
阳平关,陕西,"106.039979,32.9742919999999",117
茶镇,陕西,"108.050246,33.0413169999999",117
西乡,陕西,"107.755337999999,32.995784",117
三花石,陕西,"108.073149,33.0345689999999",117
晏家坝,陕西,"107.461617,33.114493",117
华山北,陕西,"110.093003999999,34.581704",117
华山,陕西,"110.135191,34.556139",117
黄陵,陕西,"109.351266,35.618284",117
刘家沟,陕西,"113.125049,41.9478879999999",117
永乐店,陕西,"108.942921,34.536267",117
靖边,陕西,"108.751155999999,37.6188909999999",117
洛川,陕西,"109.325014,35.782653",117
贺家河,陕西,"109.473443,35.416505",117
杜赵,陕西,"109.642429,34.9402309999999",117
集北,陕西,"109.487133,34.899197",117
苏家坡,陕西,"109.814261,35.040474",117
蒲城东,陕西,"109.605064,34.9902129999999",117
三原,陕西,"108.942954,34.606743",117
商洛,陕西,"110.013266,33.8229299999999",117
砚川,陕西,"109.842933,34.0597399999999",117
柞水,陕西,"109.141845,33.640748",117
镇安,陕西,"109.164374,33.4224859999999",117
商南,陕西,"110.895601,33.5279979999999",117
钟家村,陕西,"109.470241,34.8292739999999",117
洞子崖,陕西,"109.725386,35.227736",117
韦庄,陕西,"109.930822,34.9714749999999",117
大荔,陕西,"109.822607,34.8985399999999",117
合阳,陕西,"110.086079,35.195701",117
渭南,陕西,"109.488591,34.486148",117
渭南南,陕西,"110.051585,35.285178",117
渭南北,陕西,"109.476327,34.5375149999999",117
坡底村,陕西,"109.819008999999,35.0929659999999",117
孙镇,陕西,"109.761387,34.978008",117
潼关,陕西,"110.242684999999,34.537229",117
吴堡,陕西,"110.272722,38.031779",117
西安,陕西,"108.957995,34.278711",117
阎良,陕西,"109.223876,34.6693909999999",117
杨陵,陕西,"108.073873,34.269308",117
西安南,陕西,"109.096408999999,34.094282",117
咸阳,陕西,"108.730076999999,34.345274",117
武功,陕西,"108.200430999999,34.259591",117
咸阳秦都,陕西,"108.66222,34.332684",117
兴平,陕西,"108.484151,34.290526",117
旬阳北,陕西,"109.299942,32.849207",117
旬阳,陕西,"109.348038,32.8388059999999",117
棕溪,陕西,"109.553959,32.873224",117
延安,陕西,"109.475776,36.557405",117
道镇,陕西,"109.363221,36.1331509999999",117
甘泉北,陕西,"109.341508,36.2779329999999",117
子长,陕西,"109.742554,37.152282",117
杨陵南,陕西,"108.048084,34.253774",117
米脂,陕西,"110.167503999999,37.747377",117
清涧县,陕西,"109.992754,37.1663939999999",117
神木,陕西,"110.48205,38.860233",117
西沟,陕西,"97.96904,39.668427",117
绥德,陕西,"110.257752,37.5481079999999",117
榆林,陕西,"109.714589,38.273206",117
巴山,陕西,"108.113844,32.258926",117
子洲,陕西,"109.94783,37.61084",117
毛坝关,陕西,"108.24672,32.3444119999999",117
福安,福建,"119.712642,26.8375279999999",59
福鼎,福建,"120.185287,27.285252",59
太姥山,福建,"120.220213,27.130172",59
福清,福建,"119.379587,25.67836",59
福州南,福建,"119.385673999999,25.988878",59
福州,福建,"119.315178,26.1171149999999",59
古田,福建,"118.619068,26.432558",59
光泽,福建,"117.346314,27.5533639999999",59
华安,福建,"117.529833999999,25.00521",59
建宁县北,福建,"116.866399,26.9194789999999",59
建瓯,福建,"118.289250999999,27.0268219999999",59
建阳,福建,"118.10809,27.357005",59
将乐,福建,"117.474729999999,26.6995019999999",59
晋江,福建,"118.454041,24.797279",59
连江,福建,"119.562551,26.1974149999999",59
冠豸山,福建,"116.674803,25.527359",59
上杭,福建,"116.733236,25.185493",59
龙岩,福建,"117.001526,25.098759",59
苏坂,福建,"117.275131,25.3148349999999",59
坂尾,福建,"117.18839,25.2731579999999",59
雁石,福建,"117.147737,25.251536",59
永定,福建,"116.739166999999,24.737649",59
长汀,福建,"116.339562,25.832097",59
罗源,福建,"119.572121,26.459126",59
闽清,福建,"118.902766,26.216552",59
龙山镇,福建,"117.35755,24.69455",59
南平,福建,"118.172742,26.625661",59
来舟,福建,"117.982074999999,26.6286479999999",59
南平南,福建,"118.209774999999,26.629656",59
宁德,福建,"119.579207999999,26.672751",59
涵江,福建,"119.170902,25.494461",59
莆田,福建,"119.057848,25.353479",59
泉州,福建,"118.562456,24.975919",59
感德,福建,"117.840974,25.304231",59
福德,福建,"117.758105,25.2810829999999",59
小舟,福建,"117.702299999999,25.294747",59
格口,福建,"117.650341999999,25.286175",59
三明北,福建,"117.801796,26.379135",59
三明,福建,"117.602622,26.243634",59
厦门北,福建,"118.069109999999,24.63898",59
厦门,福建,"118.11118,24.470271",59
邵武,福建,"117.475989,27.353159",59
顺昌,福建,"117.811412,26.8029219999999",59
泰宁,福建,"117.148114,26.9300649999999",59
武夷山,福建,"118.025074,27.73308",59
霞浦,福建,"120.028326,26.9125869999999",59
永安,福建,"117.373174,25.977554",59
永泰,福建,"118.929091,25.8513629999999",59
尤溪,福建,"118.136644,26.170107",59
云霄,福建,"117.35663,23.8941459999999",59
大深,福建,"117.596875999999,25.2529989999999",59
麦园,福建,"117.490056,25.591588",59
漳平,福建,"117.41416,25.309206",59
漳浦,福建,"117.558136,24.09889",59
漳州,福建,"117.711063,24.4600149999999",59
漳州东,福建,"117.739797999999,24.5673299999999",59
南靖,福建,"117.444076999999,24.581575",59
诏安,福建,"117.093783,23.775026",59
角美,福建,"117.875434,24.529889",59
湖口,江西,"116.279758,29.731645",59
九江,江西,"116.000767,29.7072019999999",59
德安,江西,"115.762472,29.3117829999999",59
定南,江西,"115.000449,24.7777759999999",59
东乡,江西,"116.621386,28.231544",59
分宜,江西,"114.658641,27.8093779999999",59
丰城南,江西,"115.762203,28.077665",59
丰城,江西,"115.785555,28.1860339999999",59
抚州,江西,"116.349107,27.923144",59
江边村,江西,"113.107505,27.654979",59
赣州,江西,"114.959611,25.822298",59
共青城,江西,"115.769658,29.2451159999999",59
横峰,江西,"117.597364,28.4173219999999",59
西江,江西,"115.780471,25.829989",59
吉安,江西,"115.015997,27.1085379999999",59
峡江,江西,"115.330586,27.601887",59
进贤,江西,"116.241345,28.35802",59
龙市,江西,"113.963024,26.7228199999999",59
井冈山,江西,"114.292142,26.7313019999999",59
鲇鱼山,江西,"117.103706,29.2074859999999",59
景德镇,江西,"117.216553,29.288159",59
庐山,江西,"115.877054,29.600444",59
甘棠,江西,"117.092077,28.8502639999999",59
塔前,江西,"117.0877,29.050846",59
乐平市,江西,"117.109582,28.969079",59
龙南,江西,"114.87286,24.922844",59
南昌,江西,"115.914323999999,28.6654",59
南昌西,江西,"115.78756,28.6257389999999",59
横岗,江西,"115.940692,28.508227",59
莲塘,江西,"115.937194,28.5551169999999",59
向塘,江西,"115.955997,28.446287",59
南城,江西,"116.611286,27.5673439999999",59
南丰,江西,"116.595022,27.2896399999999",59
彭泽,江西,"116.538365,29.868941",59
泉江,江西,"113.953228999999,27.6634309999999",59
芦溪,江西,"114.053903,27.660746",59
萍乡,江西,"113.835965,27.6504",59
瑞昌,江西,"115.666075,29.6910339999999",59
瑞金,江西,"116.050355,25.866463",59
弋阳,江西,"117.439753,28.413957",59
上饶,江西,"118.002529,28.49349",59
泰和,江西,"114.944391999999,26.835003",59
万年,江西,"117.07456,28.6883559999999",59
新干,江西,"115.39088,27.735734",59
新余,江西,"114.934456999999,27.812899",59
信丰,江西,"114.902981999999,25.4011549999999",59
兴国,江西,"115.314136,26.333202",59
彬江,江西,"114.547543,27.785536",59
贵溪,江西,"117.210046,28.292487",59
硬石岭,江西,"117.07012,28.4513439999999",59
鹰潭,江西,"117.022681,28.238617",59
永修,江西,"115.810458999999,29.02316",59
于都,江西,"115.411432,25.978618",59
余江,江西,"116.81424,28.218204",59
画桥,江西,"117.033692,28.5194009999999",59
玉山,江西,"118.231393999999,28.6636519999999",59
樟树东,江西,"115.599594999999,27.9728509999999",59
樟树,江西,"115.57261,28.080015",59
资溪,江西,"117.073778,27.724183",59
兴安,广西壮族自治区,"110.656987,25.621182",55
百色,广西壮族自治区,"106.660827,23.888555",55
北海,广西壮族自治区,"109.123971,21.4551939999999",55
北流,广西壮族自治区,"110.152361,22.600245",55
黎塘,广西壮族自治区,"109.127986,23.197668",55
文地,广西壮族自治区,"110.20088,21.9600399999999",55
岑溪,广西壮族自治区,"110.943513,22.906454",55
崇左,广西壮族自治区,"107.353994,22.4066769999999",55
濑湍,广西壮族自治区,"107.497662,22.44806",55
防城港北,广西壮族自治区,"108.372269,21.716351",55
渠旧,广西壮族自治区,"107.578498999999,22.517992",55
渠黎,广西壮族自治区,"107.795404,22.5627819999999",55
扶绥,广西壮族自治区,"107.915392,22.6313509999999",55
富川,广西壮族自治区,"111.356713,24.7952429999999",55
贵港,广西壮族自治区,"109.608974,23.1020059999999",55
平南南,广西壮族自治区,"110.428057,23.420202",55
桂林,广西壮族自治区,"110.278209,25.2638789999999",55
桂平,广西壮族自治区,"110.111819999999,23.3189549999999",55
合浦,广西壮族自治区,"109.18405,21.625671",55
金城江,广西壮族自治区,"108.060829,24.7022569999999",55
贺州,广西壮族自治区,"111.534004,24.4572679999999",55
来宾北,广西壮族自治区,"109.240219999999,23.753291",55
来宾,广西壮族自治区,"109.236655,23.733326",55
柳州,广西壮族自治区,"109.384491999999,24.3101589999999",55
陆川,广西壮族自治区,"110.253671,22.312812",55
鹿寨,广西壮族自治区,"109.741176999999,24.4828909999999",55
南丹,广西壮族自治区,"107.553931,24.974656",55
金鸡村,广西壮族自治区,"108.178447,22.7641829999999",55
江西村,广西壮族自治区,"108.099684,22.7789949999999",55
南宁,广西壮族自治区,"108.311197,22.829528",55
宁明,广西壮族自治区,"107.060047999999,22.160902",55
龙伯屯,广西壮族自治区,"107.111924,22.186229",55
亭亮,广西壮族自治区,"107.184071,22.2195819999999",55
天西,广西壮族自治区,"107.176388,22.306009",55
平果,广西壮族自治区,"107.561909,23.319185",55
凭祥,广西壮族自治区,"106.738467,22.0830309999999",55
夏石,广西壮族自治区,"106.906391,22.128045",55
钦州东,广西壮族自治区,"108.664593999999,21.982509",55
钦州,广西壮族自治区,"108.612624,21.989557",55
全州南,广西壮族自治区,"111.03636,25.9565519999999",55
融安,广西壮族自治区,"109.40225,25.209128",55
融水,广西壮族自治区,"109.236406,25.074045",55
三江县,广西壮族自治区,"109.572053999999,25.7294039999999",55
藤县,广西壮族自治区,"110.982522,23.337057",55
田东,广西壮族自治区,"107.12554,23.6298719999999",55
田林,广西壮族自治区,"106.230613,24.2882649999999",55
田阳,广西壮族自治区,"106.93228,23.768749",55
梧州南,广西壮族自治区,"111.217659,23.395885",55
梧州,广西壮族自治区,"111.235483,23.489577",55
兴安北,广西壮族自治区,"110.661672999999,25.677298",55
兴业,广西壮族自治区,"109.893065,22.740549",55
宜州,广西壮族自治区,"108.623481,24.482129",55
永福南,广西壮族自治区,"109.994826,25.001073",55
玉林,广西壮族自治区,"110.152361,22.600245",55
容县,广西壮族自治区,"110.526964,22.862313",55
德令哈,青海,"97.382908,37.3147099999999",17
察尔汗,青海,"95.303745,36.809665",17
达布逊,青海,"95.3624159999999,36.9201649999999",17
格尔木,青海,"94.9062009999999,36.3832549999999",17
刚察,青海,"100.13518,37.328062",17
哈尔盖,青海,"100.41723,37.222",17
海晏,青海,"100.979124,36.872855",17
乐都,青海,"102.433164,36.4769409999999",17
平安驿,青海,"102.107066,36.505192",17
锡铁山,青海,"95.639336,37.3693239999999",17
饮马峡,青海,"95.8723399999999,37.323149",17
南山,青海,"115.808535,29.009276",17
柯柯,青海,"98.2552639999999,36.9843839999999",17
乌兰,青海,"98.4732379999999,36.9596409999999",17
湟源,青海,"101.165165,36.748212",17
西宁西,青海,"101.68452,36.65878",17
西宁,青海,"101.812152,36.619999",17
安多,西藏自治区,"91.6664179999999,32.2523899999999",9
当雄,西藏自治区,"91.104427,30.475579",9
协荣,西藏自治区,"90.914945,29.3922379999999",9
拉萨,西藏自治区,"91.068697,29.625795",9
尼木,西藏自治区,"90.2822869999999,29.333047",9
曲水,西藏自治区,"129.788904,42.9903959999999",9
那曲,西藏自治区,"91.991129,31.444797",9
日喀则,西藏自治区,"88.91011,29.225477",9
仁布,西藏自治区,"89.809088,29.313414",9
安庆西站,安徽,"116.813402,30.7643449999999",64
安庆站,安徽,"117.059927,30.5512729999999",64
天柱山站,安徽,"116.555688,30.65831",64
太湖站,安徽,"116.294788,30.462046",64
宿松站,安徽,"116.098753,30.2316609999999",64
固镇站,安徽,"117.300985,33.3187399999999",64
蚌埠站,安徽,"117.371924,32.9455829999999",64
蚌埠南站,安徽,"117.435852999999,32.903699",64
亳州站,安徽,"115.791991999999,33.849319",64
涡阳站,安徽,"116.234763,33.4905339999999",64
巢湖东站,安徽,"117.917145,31.6243249999999",64
巢湖站,安徽,"117.885369999999,31.6166529999999",64
东至站,安徽,"117.023196,30.175106",64
池州站,安徽,"117.516842,30.6218679999999",64
定远站,安徽,"117.830986,32.586993",64
凤阳站,安徽,"117.620966999999,32.909021",64
滁州北站,安徽,"118.321692,32.309755",64
滁州站,安徽,"118.315034999999,32.200054",64
全椒站,安徽,"118.276663,32.06372",64
炉桥站,安徽,"117.219988,32.5575139999999",64
阜南站,安徽,"115.548764,32.6399029999999",64
三堂集站,安徽,"115.815899,33.338863",64
阜阳站,安徽,"115.862909,32.916755",64
广德站,安徽,"119.404000999999,30.91394",64
合肥南站,安徽,"117.28484,31.8005439999999",64
肥东站,安徽,"117.480067,31.864196",64
长临河站,安徽,"117.477879,31.7005629999999",64
庐江站,安徽,"117.171702,31.343125",64
合肥北城站,安徽,"117.247434,32.0653999999999",64
合肥站,安徽,"117.311941,31.8877619999999",64
水家湖站,安徽,"117.169426,32.49125",64
青龙山站,安徽,"116.796334,33.8713229999999",64
淮北站,安徽,"116.798367,33.9683849999999",64
淮南东站,安徽,"117.14515,32.64811",64
淮南站,安徽,"117.013994999999,32.632902",64
